question,answer,url,language,source,section,wrong_answer
COVID-19 患者会将疾病传播给其他人吗？,"引发COVID-19的病毒正在人际间传播。人们出现症状时（病情最严重）被认为传染性最高。因此CDC建议这类患者在医院或家中隔离（取决于病情），直至病情好转，不再有传染他人的风险。最近在无症状者中也检测到了病毒。 
患者的病毒活跃时间可能有所不同。因此，解除隔离的时间亦因人而异，需要采取基于检测或不基于检测的策略（即疾病开始后经过的时间以及恢复后经过的时间），与各州和本地公共卫生官员磋商决定，其中应考虑病情严重程度、疾病体征和症状，以及患者的实验室测试结果。
详细了解CDC关于何时可以解除隔离以及准许因COVID-19住院治疗的患者出院的指南。如需了解COVID-19患者何时能够停止居家隔离，请参阅关于COVID-19患者中止居家隔离的临时指南。  
解除隔离的人通常不会对他人构成感染风险。",https://chinese.cdc.gov/coronavirus/2019-ncov/faq.html,chinese,CDC,Frequently Asked Questions,"COVID-19 是一种新的疾病， 我们仍在了解它的传播方式。一般认为，导致 COVID-19 的病毒主要是通过与正在患有 COVID-19 的人士密切接触（即约 6 英尺内）传播。这种病毒可能主要通过感染者咳嗽或打喷嚏时产生的呼吸道飞沫传播，类似于流感和其他呼吸道感染的传播方式。这些飞沫可能落在附近人群的口鼻处，或者被吸入肺部。因此，患者死后不会造成飞沫传播。 
人们可能会在接触了带有病毒的表面或物体之后又触摸自己的口鼻或眼部，并因此感染 COVID-19，但这并不是该病毒的主要传播方式。
我们不建议人们接触COVID-19死亡患者的遗体。老年人和患有严重基础疾病的各年龄段人群发生COVID-19重症的风险更高。这种病毒通过某些接触传播的可能性较小，例如在遗体满足探视条件的情况下握手或拥抱。如果可以，应在遗体处理完成之前、期间和之后避免其他活动，例如接吻、净身和裹布。如果净身或裹布是重要的宗教或文化习俗，建议家庭借助所在社区的文化和宗教领袖以及殡仪馆工作人员的帮助，尽量减少接触。从事殡仪活动的人员至少应戴一次性手套。如预计会有液体溅出，则还需佩戴其他个人防护设备（PPE）（例如一次性防护服、面罩或护目镜和N-95呼吸器）。
应根据所有清洁和消毒产品制造商指示（例如浓度、使用方法和接触时间）进行清洁。对于更难以杀灭的病毒，基于相关数据，由EPA批准的新发病毒性病原体产品pdf iconexternal iconpdf iconexternal icon据预测对于COVID-19病毒有效。脱掉PPE后，用肥皂和水洗手至少20秒，或者没有肥皂和水可用时，使用含至少60%酒精的免洗手消毒液保持手部卫生。如果双手明显脏污，应使用肥皂和水。  "
因 COVID-19 原因而被隔离的人会将疾病传播给他人吗？,隔离是指将曾经接触到传染性疾病、但尚未发生疾病（症状）的个人或群体与未接触到该疾病的其他人分开，以防止该疾病传播的可能。隔离通常根据传染病的潜伏期而确立，而潜伏期是指相关人员从接触病毒到发病的时间范围。COVID-19的隔离期为自最后一次接触之日起的14天，因为此病毒的潜伏期为2至14天。COVID-19的解除隔离人群通常不具有将病毒传播给他人的风险，因为他们在隔离期间没有发病。,https://chinese.cdc.gov/coronavirus/2019-ncov/faq.html,chinese,CDC,Frequently Asked Questions,"美国民众可能对住在或前往COVID-19传播地区的亲友感到担心焦虑。有些人很担心通过这些人感染疾病。恐惧和焦虑会导致社会污名化的产生，例如，针对居住在世界某些地方的人、曾在国外旅行的人、曾被隔离的人或医疗护理专业人员。
污名是对可识别的某一人群、地区或国家的歧视。污名化的产生主要是由于缺乏对 COVID-19 的传播方式的认识、指责旁人的欲望、对疾病和死亡的恐惧，以及谣言和谬论的散播。
污名化会伤害到每一个人，因为它使人们对普通民众产生更多的恐惧或愤怒，而并非将注意力放在引起问题的疾病本身。"
引发COVID-19的病毒会通过食物（包括餐馆外卖食物、冷藏或冷冻包装食品）传播吗？,"一般认为，冠状病毒是通过呼吸道飞沫在人与人之间传播的。目前尚无证据支持COVID-19传播与食物相关。在备餐或进食之前，请务必用肥皂和清水洗手至少20秒，以确保一般性食品安全。每次咳嗽或打喷嚏时使用纸巾遮掩，并且每次擤鼻涕、咳嗽、打喷嚏或如厕后请务必洗手。
人们也可能通过接触沾染病毒的表面或物体（例如包装容器）然后触摸自己的眼口鼻而感染COVID-19，但这并非该病毒传播的主要方式。
一般而言，冠状病毒在表面上的存活性较差，因此通过食品或包装传播风险很低。
了解有关COVID-19 传播的已知信息。 ",https://chinese.cdc.gov/coronavirus/2019-ncov/faq.html,chinese,CDC,Frequently Asked Questions,"CDC recommends that everyone 2 years and older wear a cloth face covering that covers their nose and mouth when they are out in the community. Cloth face coverings should NOT be put on babies or children younger than 2 because of the danger of suffocation. Children younger than 2 years of age are listed as an exception as well as anyone who has trouble breathing or is unconscious, incapacitated, or otherwise unable to remove the face covering without assistance.
Wearing cloth face coverings is a public health measure people should take to reduce the spread of COVID-19 in addition to (not instead of) social distancing, frequent hand cleaning ,and other everyday preventive actions. A cloth face covering is not intended to protect the wearer but may prevent the spread of virus from the wearer to others. This would be especially important if someone is infected but does not have symptoms. Medical face masks and N95 respirators are still reserved for healthcare personnel and other first responders, as recommended by current CDC guidance."
如果食物上有病毒，我是否会感染COVID-19？,基于迄今为止了解到的有关此新型冠状病毒的信息，COVID-19似乎不会通过食物传播，但仍需要进一步的调查方可确认。,https://chinese.cdc.gov/coronavirus/2019-ncov/faq.html,chinese,CDC,Frequently Asked Questions,美国公民在美国境外死亡时，死者的近亲或法定代理人应通知美国国务院的美国领事官员。领事人员每周 7 天，每天 24 小时为美国公民提供海外紧急援助。如果死者的家庭成员、伴侣或法定代理人与死者不在同一国家，则应于东部时间周一至周五的上午 8 至下午 5 致电华盛顿特区的美国国务院海外公民服务办公室，电话为 888-407-4747（免费电话）或 202-501-4444 。如需在工作时间以外或周末和节假日寻求紧急援助，请拨打 202-647-4000 致电美国国务院总机，并要求与海外公民服务值班人员通话。此外，美国公民死亡地国家内或离该国最近的美国大使馆external iconexternal iconexternal icon可以提供帮助。 
温暖的天气会阻止 COVID-19 的爆发吗？,尚不清楚天气和温度是否会影响COVID-19的传播。其他一些其他病毒（如普通感冒和流感）在冬季寒冷天气中传播性更强，但这并不意味着在其他季节就没有感染病毒的风险。有关COVID-19的传播性、严重性和其他特性的知识还需进一步了解，目前仍在调查研究。,https://chinese.cdc.gov/coronavirus/2019-ncov/faq.html,chinese,CDC,Frequently Asked Questions,"此列表基于：

我们通过其他国家和美国爆发的疫情所了解到的情况。
我们已知的其他呼吸道感染（例如流感）的风险情况。

随着CDC逐步获得有关美国COVID-19病例的更多信息，我们将在必要时更新此列表。"
什么是社区传播？,社区传播意味着人们已经在某个地区感染了这种病毒，其中包括不确定自己是在何处如何受到感染的人。,https://chinese.cdc.gov/coronavirus/2019-ncov/faq.html,chinese,CDC,Frequently Asked Questions,"这是一种新型病毒，我们目前仍在了解的过程中。不过到目前为止，儿童病例似乎不太多。大多数病症，包括重症，都发生在工作年龄的成年人和老年人身上。但是，儿童的确会感染病毒并生病。全国各地很多学校均已宣布暂时停课。请随时关注您所在社区的学校停课通知。阅读或观看报告学校停课情况的当地媒体资源。如果学校临时停课，可以在需要时使用替代的儿童照护方案。
如果您的孩子感染COVID-19，通知其幼儿园或学校。与老师讨论课堂作业以及他们可以在家做的活动，以跟上学业进度。
阻止儿童和青少年在学校停课期间在其他公共场所聚集，帮助减缓社区COVID-19传播。"
杀死COVID-19病毒的温度是什么？,一般而言，冠状病毒在高温高湿的环境中存活的时间比在凉爽干燥的环境中更短。但是，我们目前还没有关于此病毒的直接数据，也没有基于温度的失活截止时间的直接数据。必要的温度也应基于表面的材料和环境等因素。无论温度条件如何，均请遵守CDC的清洁和消毒指南。 ,https://chinese.cdc.gov/coronavirus/2019-ncov/faq.html,chinese,CDC,Frequently Asked Questions,"引发COVID-19的病毒被认为主要以人传人的方式，通过感染患者咳嗽或打喷嚏时产生的呼吸道飞沫进行传播。这些飞沫可能附着到附近的人的嘴巴或鼻子上，或者可能被吸入肺部。当人们近距离接触时（约6英尺以内）传播的可能性更高。
COVID-19在很多受影响地区的社区中似乎可以轻易且持续地传播（“社区传播”）。社区传播意味着人们已经在某个地区感染了这种病毒，其中包括不确定自己是在何处或如何受到感染的人。 
了解新发冠状病毒已知信息。 "
蚊子或扁虱是否能够传播COVID-19病毒？,CDC目前还没有数据表明这种新型冠状病毒或其类似的冠状病毒会通过蚊子或扁虱传播。COVID-19传播的主要方式为人传人。参看冠状病毒如何传播，获取更多信息。 ,https://chinese.cdc.gov/coronavirus/2019-ncov/faq.html,chinese,CDC,Frequently Asked Questions,每个地方的检测流程和地点都不一样。联系您的州、本地、部落或领地相关部门获取更多信息，或联系医疗卫生提供者。州和本地公共卫生部门已经收到了来自CDC的检测工具，而医疗卫生提供者的检测工具来自商业生产商。虽然这些检测的供给在增加，但要找到获得检测的地方可能还是很困难。查看COVID-19检测获取更多信息。 
我在美国是否有感染 COVID-19 的风险？,疫情局势发展迅速，风险评估可能每天都有变化。您可前往 CDC 的新型冠状病毒肺炎|新冠肺炎2019（COVID-19）网站了解最新动态。 ,https://chinese.cdc.gov/coronavirus/2019-ncov/faq.html,chinese,CDC,Frequently Asked Questions,根据已有证据，儿童COVID-19患病风险并不比成人高。虽然已有一些儿童和婴儿因COVID-19染病，但目前已知病例大多数是成人。您可以访问患重症风险更高的人群了解哪些人群因COVID-19患上重症的风险更高。 
美国已报告了多少病例？,美国的COVID-19病例数量会定期在线更新。请参阅当前美国COVID-19病例数。 ,https://chinese.cdc.gov/coronavirus/2019-ncov/faq.html,chinese,CDC,Frequently Asked Questions,CDC正与其他联邦合作伙伴一起提供全政府疫情应对。这是一个新发、快速发展的疫情，而CDC将继续提供最新信息。CDC24/7会尽一切力量保护人们的健康。更多关于CDC应对COVID-19疫情的信息可从线上获得。 
我该如何保护自己？,访问COVID-19预防和治疗页面，了解如何保护自己不感染呼吸道疾病，如COVID-19。 ,https://chinese.cdc.gov/coronavirus/2019-ncov/faq.html,chinese,CDC,Frequently Asked Questions,鉴于有关COVID-19传播方式的新数据，以及在全国各地社区中广泛传播的COVID-19疾病的相关证据，CDC建议人们在社区环境中佩戴布制面罩遮掩口鼻。这是人们为了减少COVID-19的传播应当采取的另一项公共卫生措施，补充（而非替代）保持社交距离、经常清洁手部和其他日常预防措施。布制面罩并非用于保护佩戴者，而是可以防止佩戴者将病毒传播给他人。这对于无症状感染者而言尤为重要。如果某人必须进入公共场所（例如杂货店），则应佩戴布制面罩。依照CDC现行指南中的建议，医用口罩和N-95口罩应留给医护人员和其他应急响应者使用。 
如果我与COVID-19患者有过密切接触该怎么办？,可从网上获取关于COVID-19确诊人员或被检测人员近距离接触人员的信息。 ,https://chinese.cdc.gov/coronavirus/2019-ncov/faq.html,chinese,CDC,Frequently Asked Questions,基于迄今为止了解到的有关此新型冠状病毒的信息，COVID-19似乎不会通过食物传播，但仍需要进一步的调查方可确认。
CDC是否建议使用口罩或布制面罩来预防COVID-19？,鉴于有关COVID-19传播方式的新数据，以及在全国各地社区中广泛传播的COVID-19疾病的相关证据，CDC建议人们在社区环境中佩戴布制面罩遮掩口鼻。这是人们为了减少COVID-19的传播应当采取的另一项公共卫生措施，补充（而非替代）保持社交距离、经常清洁手部和其他日常预防措施。布制面罩并非用于保护佩戴者，而是可以防止佩戴者将病毒传播给他人。这对于无症状感染者而言尤为重要。如果某人必须进入公共场所（例如杂货店），则应佩戴布制面罩。依照CDC现行指南中的建议，医用口罩和N-95口罩应留给医护人员和其他应急响应者使用。 ,https://chinese.cdc.gov/coronavirus/2019-ncov/faq.html,chinese,CDC,Frequently Asked Questions,"COVID-19患者病逝后可以举行葬礼和吊唁活动。在承接COVID-19逝者葬礼时，殡仪馆工作人员应遵守其常规传染预防和控制措施。如果需要将尸体装入尸袋，遵循标准预防措施，包括为预计可能出现的液体飞溅准备的额外个人防护用品（PPE）。对于运输装袋后的尸体，使用EPA批准适用于新发病毒性病原体的产品pdf iconexternal iconpdf iconexternal icon对尸袋外部进行消毒，因为根据耐受病毒的数据，这些产品预计会对COVID-19病毒有效。使用所有清洁和消毒产品时，遵循制造商指示（包括浓度、使用方法和接触时间等）。处理尸袋时，戴上一次性丁腈手套。  
可进行尸体防腐处理。尸体防腐期间，遵守标准预防措施，包括如果预计出现飞溅，使用额外PPE（例如一次性罩袍、面罩和N95口罩）。如果任何程序会产生气溶胶或者如果需要根据制造商标签使用化学品，穿戴相应的呼吸道防护用品。如果存在割伤、刺伤或其他破坏皮肤的伤害风险，穿戴重型手套而非一次性丁腈手套。关于如何安全进行产生气溶胶的程序相关更多信息，参见CDC尸检指南。清洁应根据制造商指示进行。根据来自更耐受病毒的数据，EPA批准适用于新发病毒性病原体的产品pdf iconexternal iconpdf iconexternal icon预计对COVID-19病毒有效。遵循制造商指示使用所有清洁和消毒产品（包括浓度、使用方法和接触时间）。  
清洁并脱卸 PPE 后，使用肥皂和清水洗手至少 20 秒，或者如果没有肥皂和水，使用含至少 60%酒精的免洗手消毒液，保持手部卫生。如果手部有明显污渍，则应使用肥皂和水洗手。 
可以对 COVID-19 死亡患者的遗体进行掩埋或火化，但是应检查州及地方政府是否对处理和处置某些传染病死亡患者遗体有其他要求。"
从中国寄出的包裹或产品会有传播 COVID-19 的风险吗？,有关COVID-19及其传播方式，我们目前仍知之甚少。一般认为，此冠状病毒最主要通过呼吸飞沫传播。尽管此病毒在某些表面上能够存活一段较短的时间，但其不太可能通过在环境温度下已装运数天或数周的产品或包装进行传播。目前没有证据能够证明与进口商品相关的COVID-19传播，而美国也没有任何COVID-19病例与进口商品有关。已获得的相关信息将发布在新型冠状病毒肺炎|新冠病毒2019（COVID-19）网站上。 ,https://chinese.cdc.gov/coronavirus/2019-ncov/faq.html,chinese,CDC,Frequently Asked Questions,"在疫情爆发期间，您应保持冷静并实施您的应对计划。采取下列措施：
保护您和他人。

如果您已生病，请待在家中。远离生病的人。尽可能限制与他人之间的近距离接触（约6英尺）。

实施您的家庭计划。

随时关注当地COVID-19最新疫情。关注您所在地区的学校临时停课通知，因为这可能影响您家庭的日常生活。


继续执行每日预防措施。咳嗽和打喷嚏时用纸巾遮住，并经常用肥皂和水洗手20秒以上。如果没有肥皂和水，使用含60%酒精的免洗手消毒液。使用日常家用清洁剂和水每天清洁频繁接触的表面和物体。
如果您的固定工作时间表发生了变动，请尽快通知您的工作场所。如果您或您的某位家人出现了COVID-19症状，或者您孩子的学校暂时停课，可要求在家里工作或请假。了解企业和雇主可以如何针对COVID-19制定计划并进行应对。  
通过电话或电子邮件与他人保持联系。如果您存在慢性健康问题并独自居住，可请家人、朋友和医务人员在疫情爆发期间定期查看您的情况。与家人和朋友保持联系，特别是重病风险较高人群，例如老年人和存在严重的慢性健康问题的人群。 

"
我可以献血吗？,在美国各地的医疗设施中，献血对于照护病人和拯救生命至关重要。对献血的需求持续存在，而各血液中心也均已开放，并亟需献血。CDC鼓励身体健康的人们在条件允许时继续献血，即使其由于COVID-19正在保持社交距离也可以献血。CDC通过提供有助于保证献血者和血液中心工作人员安全的建议来为献血中心提供支持。这些建议的例子包括将献血者座椅相互间隔6英尺、严格遵守环境清洁规范，并鼓励献血者提前预约献血。,https://chinese.cdc.gov/coronavirus/2019-ncov/faq.html,chinese,CDC,Frequently Asked Questions,"引发COVID-19的病毒被认为主要以人传人的方式，通过感染患者咳嗽或打喷嚏时产生的呼吸道飞沫进行传播。这些飞沫可能附着到附近的人的嘴巴或鼻子上，或者可能被吸入肺部。当人们近距离接触时（约6英尺以内）传播的可能性更高。
COVID-19在很多受影响地区的社区中似乎可以轻易且持续地传播（“社区传播”）。社区传播意味着人们已经在某个地区感染了这种病毒，其中包括不确定自己是在何处或如何受到感染的人。 
了解新发冠状病毒已知信息。 "
隐形眼镜佩戴者应采取特殊预防措施预防COVID-19吗？,"

当前没有证据表明隐形眼镜佩戴者比框架眼睛佩戴者感染COVID-19的风险更高。
隐形眼镜佩戴者应继续采取隐形眼镜佩戴和护理卫生习惯，有利于预防隐形眼镜相关的传染传播，例如总是在接触镜片前用肥皂和水洗手。 
健康人员仍可继续根据眼部护理专业人员的指示佩戴和护理其隐形眼镜。

发现更多关于冠状病毒如何传播和如何自我保护的信息。  
访问CDC隐形眼镜网站获取更多关于健康隐形眼镜佩戴和护理的信息。 ",https://chinese.cdc.gov/coronavirus/2019-ncov/faq.html,chinese,CDC,Frequently Asked Questions,疫情局势发展迅速，风险评估可能每天都有变化。您可前往 CDC 的新型冠状病毒肺炎|新冠肺炎2019（COVID-19）网站了解最新动态。 
隐形眼镜消毒护理液是否可以有效预防COVID-19病毒？,"

用于清洁、消毒和存储隐形眼镜的双氧水溶液应有效杀灭COVID-19病毒。
对于其他消毒方法，例如多功能溶液和超声波清洗器，当前还没有足够的科学证据确定其对于该病毒的有效性。


总是使用溶液为你的隐形眼镜和眼镜盒消毒，杀灭可能存在的细菌。
在经过清洁和消毒的表面上处理隐形眼镜。

发现更多关于冠状病毒如何传播和如何自我保护的信息。  
访问CDC隐形眼镜网站获取更多关于健康隐形眼镜佩戴和护理的信息。 ",https://chinese.cdc.gov/coronavirus/2019-ncov/faq.html,chinese,CDC,Frequently Asked Questions,"引发COVID-19的病毒被认为主要以人传人的方式，通过感染患者咳嗽或打喷嚏时产生的呼吸道飞沫进行传播。这些飞沫可能附着到附近的人的嘴巴或鼻子上，或者可能被吸入肺部。当人们近距离接触时（约6英尺以内）传播的可能性更高。
COVID-19在很多受影响地区的社区中似乎可以轻易且持续地传播（“社区传播”）。社区传播意味着人们已经在某个地区感染了这种病毒，其中包括不确定自己是在何处或如何受到感染的人。 
了解新发冠状病毒已知信息。 "
我的孩子感染COVID-19的风险是什么？,根据已有证据，儿童COVID-19患病风险并不比成人高。虽然已有一些儿童和婴儿因COVID-19染病，但目前已知病例大多数是成人。您可以访问患重症风险更高的人群了解哪些人群因COVID-19患上重症的风险更高。 ,https://chinese.cdc.gov/coronavirus/2019-ncov/faq.html,chinese,CDC,Frequently Asked Questions,"

用于清洁、消毒和存储隐形眼镜的双氧水溶液应有效杀灭COVID-19病毒。
对于其他消毒方法，例如多功能溶液和超声波清洗器，当前还没有足够的科学证据确定其对于该病毒的有效性。


总是使用溶液为你的隐形眼镜和眼镜盒消毒，杀灭可能存在的细菌。
在经过清洁和消毒的表面上处理隐形眼镜。

发现更多关于冠状病毒如何传播和如何自我保护的信息。  
访问CDC隐形眼镜网站获取更多关于健康隐形眼镜佩戴和护理的信息。 "
